topic,word,weight
1,sostenible,0.00023037641949485987
1,notable,0.00019966154650319368
1,investigación_formativo,0.00019876981968991458
1,estilo_aprendizaje,0.00019871846598107368
1,lac,0.0001985260605579242
1,mentoro,0.00019717315444722772
1,disparidad_género,0.00018883334996644408
1,clasificación,0.00017937872326001525
1,financiero,0.00017907658184412867
1,entrevistado,0.00017540532280690968
1,modalidad_presencial,0.00017521195695735514
1,puntuación,0.00017483075498603284
1,recurso_estratégico,0.00017406826373189688
1,actitud_favorable,0.00017179487622343004
1,enfoque_diferencial,0.0001705572212813422
1,ajustar,0.00017053604824468493
1,utn,0.0001700073917163536
1,trabajador,0.00016955405590124428
1,situación_problemático,0.00016930606216192245
1,wie,0.00016888925165403634
1,seguir_carrera,0.0001677467516856268
1,plazo,0.00016773835523054004
1,owsd,0.00016673003847245127
1,persistir,0.00016600398521404713
1,vocación_científico,0.00016401194443460554
1,semillero,0.00016363535542041063
1,empírico,0.00016305151802953333
1,organismo,0.00016260599659290165
1,teletrabajo,0.00016250000044237822
1,estilo,0.00016246055020019412
2,plan_estratégico,0.002927839057520032
2,prototipo,0.0021983052138239145
2,conocimiento_contenido,0.0020164281595498323
2,mentoreo,0.0018348413286730647
2,ingeniería_ciencio,0.001833730610087514
2,ods_ods,0.00183305109385401
2,modelo_organizativo,0.001832594396546483
2,despertar,0.0018324286211282015
2,docente_varón,0.001832314650528133
2,página_web,0.0018305297708138824
2,concurso,0.0016515773022547364
2,feminista,0.00165148067753762
2,informáticar,0.0016511379508301616
2,fase_operativo,0.0016507329419255257
2,convocar,0.0016505960375070572
2,unir,0.0016505405073985457
2,propiciar,0.0014689040835946798
2,innovación_invención,0.0014688866212964058
2,asiático,0.0014684012858197093
2,popular,0.001468312693759799
2,motivar_estudiante,0.0014680945314466953
2,mercado_trabajo,0.0014680882450193167
2,corpus,0.001468016067519784
2,cumplimiento_ods,0.0014677714789286256
2,televisión,0.0014676511054858565
2,canal,0.0014676348073408008
2,europeo,0.001467170543037355
2,sentimiento,0.001287376624532044
2,modelo_rizomático,0.0012866792967543006
2,videojuego,0.0012862503062933683
3,constructo,0.00020995264640077949
3,entorno_laboral,0.0001875340676633641
3,ítems,0.00018503397586755455
3,chile,0.0001844420621637255
3,puntaje,0.00018159073079004884
3,madre_comunitario,0.00018148196977563202
3,personalizado,0.00017980144184548408
3,implementar_política,0.00017879161168821156
3,actitud_ciencia,0.00017838174244388938
3,legal,0.00017766405653674155
3,dei,0.00017603048763703555
3,aspiración,0.0001756045821821317
3,calidad_sueño,0.00017117425159085542
3,proceder,0.00017069646855816245
3,red_apoyo,0.00017047917935997248
3,año_secundario,0.00017035959172062576
3,desacuerdo,0.0001699586136965081
3,accesibilidad,0.00016891988343559206
3,producción_científico,0.00016878479800652713
3,accesible,0.00016852677799761295
3,revisión_sistemático,0.00016827386571094394
3,empowerher,0.000167809019330889
3,recolección_dato,0.00016728548507671803
3,legislación,0.0001672488870099187
3,imperativo,0.00016716413665562868
3,asesoer,0.0001658282708376646
3,estudio_primario,0.00016575474001001567
3,fomentar_participación,0.00016567537386436015
3,industria_software,0.00016558154311496764
3,promover_inclusión,0.0001645229203859344
4,experiencia_educativo,0.0013757484266534448
4,político_educativo,0.0013754066312685609
4,rsl,0.0013750469079241157
4,mixto,0.001262093661352992
4,proyecto_energético,0.0012615846935659647
4,considerable,0.0012614117003977299
4,contribuir_desarrollo,0.0012612331192940474
4,medio_desviación,0.0012611917918547988
4,ingenieer_lac,0.0012611913261935115
4,dei_ingeniería,0.0012610966805368662
4,mapeo,0.0012610630365088582
4,dispositivo,0.0011479435488581657
4,mesa,0.001147737493738532
4,siilmi,0.0011476591462269425
4,continuo,0.0011474608909338713
4,contraste,0.0011472792830318213
4,emergente,0.0011471736943349242
4,normativo,0.0011470007011666894
4,pln,0.0011469770688563585
4,fuente_dato,0.0011469048913568258
4,subrayar_importancia,0.001033445238135755
4,utb,0.0010332587407901883
4,implementado,0.00103320914786309
4,mentora,0.001033199136145413
4,mejorar_calidad,0.0010331323137506843
4,transición_energético,0.0010331134544685483
4,politécnico_grancolombiano,0.001033098786137998
4,corhuila,0.0010329864453524351
4,continuar_carrera,0.0010329585056751966
4,carrero_ingeniería,0.0010329583892598748
5,quinuar,0.0023980767000466585
5,cargo_liderazgo,0.0020801089704036713
5,productor,0.0019213648047298193
5,mundo_real,0.0019208798184990883
5,ssm,0.0019207578152418137
5,visita,0.0019206543220207095
5,hondurar,0.0019199894741177559
5,covid,0.0017620339058339596
5,extracto,0.0016018999740481377
5,wie_utp,0.0016011572442948818
5,universidad_ecci,0.0016010577091947198
5,promedio_general,0.0014427716378122568
5,formación_postgrado,0.0014425104018300772
5,hondureño,0.0014421700034290552
5,universidad_andes,0.0014421562664210796
5,utpl,0.0014420937513932586
5,podcasts,0.0012843760196119547
5,corresponder_estudiante,0.0012835353845730424
5,saga,0.0012834055814892054
5,ies,0.0012833933578804135
5,femenino_masculino,0.0012830339837819338
5,academio,0.0012830235064029694
5,comercialización,0.001283014309592545
5,autopresentación,0.0012829890474677086
5,unab,0.0012828739127144217
5,hondura,0.0012828644830733538
5,inv,0.0012828453909605742
5,vivienda,0.0012828344479203224
5,impacto_vida,0.001282817916944623
5,cundinamarca,0.0012826435267925262
